tree_type,tree_height,leaf_width,root_depth,yearly_amount,price_per_orange
Mandarin,4.022477522242748,3.265874116573845,1.459750769822944,1400.0,0.2
Mandarin,4.0850265252576765,2.7545928375106903,1.7845171722309663,1262.0,0.2
Blood Orange,4.490820272464869,3.170202978263861,1.996862430824133,1178.0,0.35
Blood Orange,4.122927675605162,2.8487104340585496,1.96261354033018,985.0,0.35
Valencia,3.0401267142103543,3.6805672443551205,0.4365033099000579,915.0,0.25
Blood Orange,4.394414118395662,2.5364085813503086,1.9091517034602892,1075.0,0.35
Mandarin,3.9699320114087953,2.8447795275137002,1.6382582996125366,1409.0,0.2
Mandarin,3.695626355202154,2.846904690731194,1.984543602109158,1380.0,0.2
Navel,2.3842409990670723,2.1896950586503694,1.6493567022970586,568.0,0.3
Mandarin,3.647104345474504,2.668577709516644,1.6120806959925111,1317.0,0.2
Mandarin,3.6080832086863386,2.656174059635908,1.8467045254915186,1084.0,0.2
Valencia,2.3870338349173523,1.819367815877588,1.9718177716613452,1064.0,0.25
Blood Orange,4.116596441368795,3.0616950242846963,1.8271331376131374,1008.0,0.35
Valencia,2.0242244615466554,1.2737173976683231,2.177426142253753,940.0,0.25
Mandarin,3.8513001314497384,2.2822985945237906,1.8240987810522185,1071.0,0.2
Blood Orange,3.9987902395901553,2.591293544911587,1.9804683282355098,1008.0,0.35
Navel,2.602476218783241,1.9996455135770752,1.6387876127625496,691.0,0.3
Blood Orange,3.762981853905661,2.515939078430694,2.19765043875912,1356.0,0.35
Navel,2.4788328312449126,2.74166388284655,1.5708223496274878,898.0,0.3
Navel,2.379046915908046,2.988978028152971,1.531241246711529,917.0,0.3
Blood Orange,3.9848746904343226,3.134974245199501,2.021277800148357,1100.0,0.35
Mandarin,4.364945209116876,2.3956722816572658,1.60942725022714,1345.0,0.2
Mandarin,3.478935499050789,2.7372614147906122,1.8906858415245127,939.0,0.2
Mandarin,4.360267688127971,3.0718133974826154,1.6708161472417946,1487.0,0.2
Blood Orange,3.2625778244054464,2.4023052949999393,1.9179461453802615,1116.0,0.35
Blood Orange,3.7317489359044704,2.6251498023539512,1.959647634841211,1279.0,0.35
Mandarin,3.8578582589628603,2.6737405538733134,2.0610380191406903,1145.0,0.2
Blood Orange,3.3305293739441395,3.0348122978229544,1.7651334678685247,1104.0,0.35
Valencia,2.2066749218209805,1.8198089843740834,2.197642638146143,1062.0,0.25
Valencia,3.475208055193974,1.9069384912694942,0.5087424072943945,1066.0,0.25
Blood Orange,3.849978337132886,3.471083338617586,2.212820515945725,1182.0,0.35
